PRINT DATE :2020/4/30 上午 10:58:06,
,
SAMPLE :,
RANGE :400nm ～ 700nm,
T50% WL=,
RANGE :400nm ～ 700nm,
"MAX :57371.34 , 625.3nm    MIN :4977.86 , 400.1nm    AVERAGE :40123.2",
,
,
nm,SCAN
400,5128.27
401,5258.62
402,5358.39
403,5494.36
404,5645.1
405,5782.74
406,5932.24
407,6042.05
408,6218.74
409,6341.91
410,6492.69
411,6629.2
412,6746.74
413,6836.84
414,6977.05
415,7072.89
416,7171.82
417,7281.98
418,7390.82
419,7485.01
420,7628.93
421,7783.25
422,7911.6
423,8039.01
424,8223.6
425,8320.93
426,8502.01
427,8693.74
428,8881.29
429,9052.36
430,9250.25
431,9370.29
432,9569.7
433,9751.01
434,9953.03
435,10192.1
436,10401.36
437,10606.1
438,10757.01
439,10917.46
440,11026.63
441,11134.03
442,11289.01
443,11362.03
444,11487.1
445,11619.32
446,11706.6
447,11798.2
448,11920.03
449,12081.58
450,12193.94
451,12365.77
452,12575.36
453,12726.44
454,12888.2
455,13117.41
456,13338.77
457,13620.84
458,13914.77
459,14254.93
460,14595.34
461,14947.6
462,15400.48
463,15724.1
464,16195.89
465,16705.82
466,17225.13
467,17803.15
468,18486.41
469,19147.53
470,19889.55
471,20585.87
472,21354.65
473,21990.08
474,22758.91
475,23543.74
476,24388.82
477,25239.03
478,26093.87
479,26958.51
480,27756.72
481,28554.51
482,29316.48
483,30087.7
484,30826.87
485,31546.08
486,32086.98
487,32746.77
488,33386.27
489,33990.91
490,34564.84
491,35117.25
492,35633.17
493,36086.82
494,36520.03
495,36890.29
496,37206.41
497,37551.48
498,37822.37
499,38125.72
500,38414.41
501,38681.29
502,38962.13
503,39229.63
504,39551.03
505,39837.94
506,40219.63
507,40613.37
508,41034.68
509,41493.84
510,41994.01
511,42489.27
512,42989.34
513,43569.94
514,44132.39
515,44737.89
516,45343.77
517,45944.7
518,46473.16
519,47022.03
520,47563.58
521,48046.94
522,48549.92
523,48992.98
524,49413.06
525,49792.37
526,50112.39
527,50393.55
528,50654.01
529,50899.17
530,51119.58
531,51343.08
532,51525.3
533,51696.84
534,51886.11
535,52015.03
536,52165.2
537,52301.46
538,52434.44
539,52572.36
540,52714.82
541,52815.66
542,52930.67
543,52998.84
544,53078.1
545,53212.37
546,53233.58
547,53353.42
548,53420.53
549,53473.72
550,53559.23
551,53563.82
552,53594.56
553,53615.2
554,53658.46
555,53647.1
556,53651.04
557,53665.67
558,53747.04
559,53797.58
560,53900.32
561,53974.58
562,54023.37
563,54082.67
564,54153.23
565,54241.34
566,54321.42
567,54403.27
568,54479.82
569,54550.27
570,54584.58
571,54653.32
572,54689.86
573,54730.23
574,54798.86
575,54872.66
576,54938.96
577,55010.08
578,55057.82
579,55079.39
580,55099.8
581,55110.91
582,55136.89
583,55155.34
584,55183.79
585,55168.2
586,55158.04
587,55115.91
588,55069.75
589,54978.37
590,54886.53
591,54810.7
592,54744.48
593,54717.46
594,54703.48
595,54744.04
596,54763.1
597,54822.63
598,54855.61
599,54808.24
600,54776.66
601,54698.01
602,54607.56
603,54505.2
604,54373.37
605,54214.75
606,54062.72
607,53985.8
608,53946.39
609,53955.08
610,54004.29
611,54125.15
612,54275.18
613,54492.86
614,54803.51
615,55100.1
616,55469.89
617,55850.89
618,56161.34
619,56475.17
620,56779.39
621,57036.17
622,57190.39
623,57342.72
624,57369.17
625,57329.96
626,57301.98
627,57201.53
628,57080.53
629,56960.89
630,56788.43
631,56662.65
632,56450.63
633,56279.58
634,56145.6
635,55929.53
636,55823.79
637,55660.53
638,55429.24
639,55278.93
640,55083.39
641,54886.8
642,54700.86
643,54521.72
644,54356.42
645,54211.53
646,54063.8
647,53874.75
648,53699.91
649,53518.75
650,53345.67
651,53117.53
652,52941.7
653,52768.43
654,52585.08
655,52392.99
656,52233.73
657,52058.65
658,51880.49
659,51643.2
660,51453.03
661,51252.96
662,51045.13
663,50790.27
664,50557.06
665,50340.08
666,50132.77
667,49915.68
668,49796.75
669,49610.3
670,49435.58
671,49271.27
672,49013.06
673,48821.94
674,48527.89
675,48285.96
676,48064.94
677,47789.41
678,47572.49
679,47325.89
680,47061.27
681,46798.16
682,46549.41
683,46310.92
684,46049.49
685,45861.98
686,45678.16
687,45437.44
688,45191.98
689,44974.25
690,44698.3
691,44470.94
692,44268.06
693,43967.06
694,43766.41
695,43533.44
696,43291.11
697,43049.18
698,42733.51
699,42478.82
700,42204.32
701,41919.22
702,41701.34
703,41457.94
704,41125.94
705,40858.58
706,40567.37
707,40256.32
708,40021.15
709,39731.34
710,39452.55
711,39134.44
712,38717.53
713,38348.41
714,37965.87
715,37432.25
716,36935.84
717,36277.65
718,35723.11
719,35224.36
720,34712.41
721,34363.87
722,34024.72
723,33806.89
724,33567.93
725,33421.05
726,33289.51
727,33112.84
728,32993.58
729,32803.25
730,32672.17
731,32474.93
732,32285.91
733,32114.36
734,31894.89
735,31696.91
736,31468.58
737,31240.22
738,30958.98
739,30692.91
740,30367.2
741,30079.93
742,29751.98
743,29469.29
744,29151.41
745,28759.08
746,28447.72
747,28134.72
748,27905.08
749,27724.22
750,27605.87
751,27523.48
752,27517.6
753,27547.93
754,27615.34
755,27696.01
756,27800.65
757,27872.13
758,27948.96
759,28001.1
760,28004.22
761,27979.65
762,27924.39
763,27748.63
764,27583.93
765,27319.22
766,26994.13
767,26716.24
768,26310.24
769,25934.65
770,25499.41
771,25125.29
772,24630.67
773,24221.41
774,23706.17
775,23289.63
776,22817.1
777,22350.44
778,21959.89
779,21495.32
780,21105.39
781,20650.48
782,20292.79
783,19855.84
784,19459.6
785,19123.48
786,18716.1
787,18391.55
788,17996.41
789,17657.32
790,17376.67
791,17059.29
792,16804.22
793,16478.65
794,16164.13
795,15928.29
796,15605.77
797,15334.67
798,15098.22
799,14815.46
800,14600.39
801,14313.44
802,14026.01
803,13786.7
804,13490.55
805,13209.41
806,12974.53
807,12734.49
808,12512.58
809,12307.08
810,12112.79
811,11914.84
812,11756.58
813,11571.15
814,11359.82
815,11182.13
816,10998.36
817,10811.13
818,10660.44
819,10477.67
820,10292.72
821,10131.15
822,9985.03
823,9812.27
824,9637.03
825,9496.72
826,9327.91
827,9149.77
828,8979.48
829,8844.08
830,8693.22
831,8545.22
832,8406.65
833,8286.25
834,8131.91
835,7984.15
836,7829.39
837,7692.46
838,7540.74
839,7384.03
840,7232.41
841,7114.72
842,6984.96
843,6872.2
844,6743.44
845,6630.5
846,6493.03
847,6367.27
848,6243.36
849,6117.03
850,6011.82
851,5877.62
852,5752.53
853,5644.77
854,5516.29
855,5388.53
856,5284.79
857,5171.93
858,5063.74
859,4958.22
860,4860.93
861,4732.03
862,4655.15
863,4545.48
864,4436.2
865,4337.29
866,4212.34
867,4093.82
868,3985.58
869,3879.69
870,3767.98
871,3640.98
872,3530.5
873,3419.31
874,3312.08
875,3216.36
876,3111.93
877,3032.12
878,2970.48
879,2905.48
880,2851.72
881,2788.72
882,2726.77
883,2667.15
884,2599.39
885,2542.15
886,2491.53
887,2427.05
888,2361.58
889,2301.05
890,2237.53
891,2175.29
892,2127.96
893,2059.96
894,2001.63
895,1948.82
896,1865.63
897,1807.67
898,1749.44
899,1699.39
900,1657.77
