nm,n
400.715,1.50634
406.033,1.50489
410.134,1.50401
414.619,1.50255
418.527,1.50196
421.859,1.50167
427.818,1.50021
431.727,1.49962
436.276,1.49932
442.876,1.49815
446.592,1.49756
450.372,1.49727
454.153,1.49668
458.766,1.49464
464.148,1.49463
469.274,1.49375
475.938,1.49287
481.705,1.49315
486.382,1.49285
491.06,1.49197
496.057,1.49138
501.376,1.49137
506.758,1.49136
511.371,1.49048
516.305,1.4896
522.712,1.48901
527.903,1.48929
533.541,1.48899
539.564,1.48898
544.562,1.48926
549.496,1.48809
553.596,1.4875
557.889,1.48721
563.208,1.48604
568.142,1.48719
574.997,1.48659
581.213,1.48658
589.286,1.48686
595.822,1.48626
602.358,1.48596
607.291,1.4874
612.225,1.48594
619.338,1.48709
623.502,1.48708
635.997,1.48648
643.173,1.48646
645.993,1.4853
648.94,1.48529
652.977,1.48499
657.847,1.48527
662.78,1.48555
667.138,1.48555
674.506,1.48524
681.49,1.48523
685.591,1.48551
691.294,1.48492
695.01,1.48404
699.239,1.48404
