nm,k
382.255,0.0350762
385.404,0.0328958
387.4,0.0307842
389.105,0.0284686
391.1,0.0262209
402.001,0.0204956
405.732,0.0186552
411.19,0.0163371
416.94,0.0144274
422.983,0.0127897
435.378,0.0113521
444.312,0.0101891
454.978,0.00902491
465.073,0.00840571
477.188,0.00771714
491.9,0.00689074
503.152,0.00647502
519.604,0.00646438
533.169,0.00638753
546.446,0.00631087
566.941,0.00643376
582.528,0.00642368
596.098,0.00675528
612.262,0.0068129
625.251,0.0068045
639.4,0.00727187
654.701,0.00753427
665.383,0.00773158
678.951,0.00785895
686.174,0.00846695
698.88,0.00893525
708.118,0.0091335
718.799,0.00919466
728.619,0.00973291
739.013,0.00999848
746.808,0.0101296
756.914,0.0104634
768.753,0.0107961
774.53,0.0112008
787.235,0.0116011
795.031,0.0118683
802.827,0.0120675
815.246,0.0127402
829.688,0.0135478
839.215,0.0137458
852.211,0.0143501
860.59,0.0150254
873.872,0.0154253
883.114,0.0158958
891.781,0.0165709
904.202,0.0173798
920.084,0.0179141
928.461,0.0184533
938.571,0.0191275
947.53,0.0200747
961.394,0.0208827
972.947,0.0214878
982.483,0.0224347
992.882,0.0231087
1006.75,0.0238486
1016.86,0.0246589
1025.53,0.0254702
1036.79,0.0263479
1050.08,0.0274965
1059.9,0.0281029
1067.42,0.0287787
1077.25,0.0299977
1093.43,0.0314849
1104.11,0.0321587
1113.65,0.0333098
1122.04,0.0343936
1137.06,0.0355411
1144.87,0.0366933
1153.25,0.0375048
1161.63,0.0383162
1168.57,0.039469
1180.12,0.0402784
1187.64,0.0414308
1195.73,0.0425148
1207.01,0.0440732
1221.17,0.0456297
1231.29,0.0469166
1239.38,0.0480686
1247.49,0.0499694
1260.78,0.0513223
1270.61,0.0527455
1278.71,0.0540337
1289.41,0.056069
1304.15,0.0579655
1311.39,0.0593223
1320.06,0.060474
1323.83,0.061765
1331.64,0.0631214
1342.34,0.0649525
1351.01,0.0665126
1359.69,0.0677323
1366.63,0.0690212
1371.84,0.0705154
1383.7,0.0728904
1390.94,0.0742472
1397.01,0.0752643
1402.8,0.0766902
1412.64,0.0790664
1423.34,0.0808975
1429.71,0.0823229
1436.36,0.0838162
1443.31,0.0851051
1450.55,0.0870746
1463.86,0.0904697
1470.23,0.0920993
1475.73,0.0935253
1481.23,0.0948833
1486.74,0.0967858
1496.58,0.0995024
1503.24,0.101336
1509.9,0.102966
1517.72,0.10473
1521.19,0.105681
1531.62,0.10935
1541.47,0.111795
1548.42,0.113901
1553.06,0.115599
1563.49,0.11886
1569.57,0.120898
1575.66,0.123209
1582.05,0.126541
1593.62,0.129188
1599.14,0.13218
1606.67,0.134353
1613.35,0.137616
1622.63,0.141014
1629.3,0.143665
1635.09,0.145567
1641.48,0.148558
1649.32,0.153182
1657.14,0.155492
1661.5,0.158007
1666.43,0.159842
1676.59,0.164533
1681.53,0.167321
1687.33,0.170108
1692.27,0.173032
1699.54,0.177792
1704.77,0.180308
1708.26,0.18262
1714.65,0.185747
1724.51,0.190438
1730.04,0.193838
1733.82,0.196422
1738.75,0.198461
1784.15,0.230631
1787.66,0.234509
1790.87,0.237026
1794.65,0.23995
1801.95,0.246957
1806.89,0.249949
1810.39,0.252738
1812.15,0.255596
1817.98,0.260358
1822.64,0.263826
1827,0.266615
1830.21,0.269335
1835.47,0.274914
1838.97,0.278179
1841.02,0.280697
1841.92,0.283419
