wl,k
0.31,5.00E-05
0.32,1.38E-05
0.33,6.28E-06
0.34,2.71E-06
0.35,1.12E-06
0.36,5.42E-07
0.37,4.06E-07
0.38,5.94E-07
0.39,2.83E-07
0.4,2.05E-07
0.41,2.18E-07
0.42,2.28E-07
0.43,2.40E-07
0.44,2.34E-07
0.45,1.93E-07
0.46,1.67E-07
0.47,1.70E-07
0.48,1.68E-07
0.49,1.55E-07
0.5,1.49E-07
0.51,1.50E-07
0.52,1.58E-07
0.53,1.77E-07
0.54,1.99E-07
0.55,2.20E-07
0.56,2.53E-07
0.57,3.05E-07
0.58,3.56E-07
0.59,4.00E-07
0.6,4.55E-07
0.61,5.22E-07
0.62,5.97E-07
0.63,6.91E-07
0.64,7.75E-07
0.65,8.37E-07
0.66,9.11E-07
0.67,1.01E-06
0.68,1.10E-06
0.69,1.16E-06
0.7,1.23E-06
0.71,1.35E-06
0.72,1.47E-06
0.73,1.59E-06
0.74,1.71E-06
0.75,1.83E-06
0.76,1.96E-06
0.77,2.09E-06
0.78,2.21E-06
0.79,2.35E-06
0.8,2.48E-06
0.81,2.62E-06
0.82,2.76E-06
0.83,2.89E-06
0.84,3.02E-06
0.85,3.15E-06
0.86,3.27E-06
0.87,3.39E-06
0.88,3.51E-06
0.89,3.62E-06
0.9,3.73E-06
0.91,3.82E-06
0.92,3.91E-06
0.93,4.00E-06
0.94,4.08E-06
0.95,4.17E-06
0.96,4.26E-06
0.97,4.35E-06
0.98,4.43E-06
0.99,4.51E-06
1,4.59E-06
1.1,5.11E-06
1.2,5.37E-06
1.3,5.35E-06
1.4,4.94E-06
1.5,4.23E-06
1.6,3.68E-06
1.7,3.66E-06
1.8,3.92E-06
1.9,4.19E-06
2,4.42E-06
2.1,4.48E-06
2.2,5.37E-06
2.3,5.08E-06
2.4,5.37E-06
2.5,6.32E-06
2.6,6.88E-06
2.7,1.02E-05
2.8,6.50E-05
2.9,7.93E-05
3,7.43E-05
3.1,7.42E-05
3.2,8.19E-05
3.3,9.34E-05
3.4,9.96E-05
3.5,1.07E-04
3.6,1.07E-04
3.7,1.05E-04
3.8,1.03E-04
3.9,1.03E-04
4,1.06E-04
4.1,1.22E-04
4.2,1.44E-04
4.3,1.78E-04
4.4,2.25E-04
4.5,2.98E-04
4.6,7.44E-04
