PRINT DATE :2020/4/9 下午 05:41:10,
,
SAMPLE :,
RANGE :400nm ～ 780nm,
T50% WL=,
RANGE :400nm ～ 780nm,
"MAX :9.69 , 717.8nm    MIN :6.15 , 768.8nm    AVERAGE :8.1",
,
,
nm,SCAN
400,7.57
401,7.65
402,7.77
403,7.88
404,8.01
405,8.24
406,8.26
407,8.39
408,8.53
409,8.64
410,8.8
411,8.93
412,9.01
413,9.04
414,9.05
415,9.04
416,9.02
417,8.99
418,8.87
419,8.8
420,8.69
421,8.55
422,8.42
423,8.3
424,8.21
425,8.15
426,8.08
427,8
428,7.93
429,7.81
430,7.77
431,7.76
432,7.73
433,7.75
434,7.76
435,7.75
436,7.81
437,7.83
438,7.88
439,8
440,8.09
441,8.17
442,8.27
443,8.38
444,8.46
445,8.56
446,8.58
447,8.58
448,8.58
449,8.59
450,8.57
451,8.58
452,8.58
453,8.56
454,8.55
455,8.48
456,8.44
457,8.44
458,8.39
459,8.39
460,8.4
461,8.36
462,8.28
463,8.23
464,8.2
465,8.18
466,8.18
467,8.13
468,8.11
469,8.09
470,8.02
471,8.01
472,7.99
473,7.95
474,7.94
475,7.94
476,7.93
477,7.93
478,7.94
479,7.93
480,7.91
481,7.91
482,7.89
483,7.92
484,7.91
485,7.9
486,7.92
487,7.92
488,7.94
489,7.96
490,8
491,8.03
492,8.06
493,8.08
494,8.1
495,8.13
496,8.19
497,8.23
498,8.28
499,8.33
500,8.37
501,8.42
502,8.47
503,8.5
504,8.53
505,8.55
506,8.57
507,8.6
508,8.63
509,8.64
510,8.65
511,8.63
512,8.61
513,8.6
514,8.57
515,8.53
516,8.49
517,8.45
518,8.39
519,8.32
520,8.25
521,8.17
522,8.09
523,8.03
524,7.97
525,7.89
526,7.81
527,7.74
528,7.66
529,7.6
530,7.54
531,7.5
532,7.45
533,7.42
534,7.4
535,7.37
536,7.36
537,7.37
538,7.39
539,7.43
540,7.48
541,7.52
542,7.56
543,7.61
544,7.68
545,7.77
546,7.86
547,7.96
548,8.07
549,8.17
550,8.28
551,8.38
552,8.48
553,8.59
554,8.68
555,8.78
556,8.86
557,8.94
558,9.01
559,9.07
560,9.11
561,9.15
562,9.2
563,9.23
564,9.24
565,9.24
566,9.23
567,9.21
568,9.17
569,9.13
570,9.08
571,9.02
572,8.94
573,8.86
574,8.76
575,8.66
576,8.56
577,8.45
578,8.34
579,8.21
580,8.1
581,7.99
582,7.88
583,7.76
584,7.64
585,7.53
586,7.42
587,7.32
588,7.23
589,7.13
590,7.06
591,6.99
592,6.93
593,6.89
594,6.86
595,6.84
596,6.83
597,6.83
598,6.85
599,6.88
600,6.91
601,6.96
602,7.02
603,7.08
604,7.17
605,7.27
606,7.36
607,7.46
608,7.56
609,7.67
610,7.79
611,7.93
612,8.05
613,8.18
614,8.3
615,8.42
616,8.54
617,8.67
618,8.8
619,8.91
620,9.02
621,9.13
622,9.22
623,9.32
624,9.41
625,9.48
626,9.52
627,9.58
628,9.61
629,9.63
630,9.66
631,9.65
632,9.66
633,9.66
634,9.63
635,9.61
636,9.56
637,9.51
638,9.44
639,9.37
640,9.3
641,9.23
642,9.14
643,9.03
644,8.94
645,8.83
646,8.72
647,8.59
648,8.47
649,8.35
650,8.23
651,8.08
652,7.97
653,7.85
654,7.73
655,7.59
656,7.47
657,7.35
658,7.25
659,7.13
660,7.03
661,6.96
662,6.86
663,6.76
664,6.69
665,6.62
666,6.57
667,6.51
668,6.48
669,6.45
670,6.43
671,6.41
672,6.4
673,6.4
674,6.41
675,6.43
676,6.49
677,6.54
678,6.59
679,6.64
680,6.71
681,6.76
682,6.84
683,6.93
684,7.01
685,7.12
686,7.21
687,7.32
688,7.42
689,7.53
690,7.65
691,7.76
692,7.86
693,7.99
694,8.08
695,8.17
696,8.32
697,8.43
698,8.57
699,8.67
700,8.76
