L1,L2,L3,L4,L5,L6,L7
9.608,5.4775,23.37666667,6.16,16.795,11.06,18.89333333
9.57,5.485,23.20333333,6.1475,16.535,11.05,18.73
9.5,5.495,23.07666667,6.1025,16.3,11,18.57333333
9.442,5.5525,23.02333333,6.1025,16.025,10.94,18.45666667
9.374,5.535,22.90666667,6.095,15.72833333,10.78,18.34333333
9.312,5.525,22.76666667,6.1025,15.43,10.67,18.25
9.312,5.515,22.66,6.085,15.14833333,10.54,18.13
9.28,5.4975,22.58666667,6.0625,14.93,10.51,18.06333333
9.276,5.485,22.52666667,6.0775,14.68166667,10.44,17.98
9.252,5.4775,22.36333333,6.085,14.43833333,10.41,17.82
9.18,5.46,22.27666667,6.06,14.19,10.39,17.70333333
9.122,5.45,22.11666667,6.045,13.90666667,10.35,17.56
9.072,5.41,21.98,6.0125,13.61,10.29,17.43333333
9.028,5.415,21.9,5.96,13.385,10.24,17.33
9.04,5.4425,21.79,5.9525,13.09333333,10.1,17.25666667
9.036,5.4475,21.69,5.9675,12.825,10.04,17.21333333
9,5.4425,21.56666667,5.97,12.56666667,10.08,17.14666667
8.964,5.44,21.45333333,5.9975,12.33166667,9.95,17.07333333
8.894,5.435,21.29666667,5.97,12.07833333,9.98,17
8.85,5.4375,21.19666667,5.9475,11.86,9.85,16.91
8.812,5.4125,21.04333333,5.9025,11.58333333,9.75,16.8
8.764,5.4075,20.94,5.8675,11.32333333,9.6,16.68
8.722,5.3525,20.84333333,5.8525,11.045,9.51,16.59333333
8.684,5.3275,20.74,5.86,10.815,9.42,16.50333333
8.65,5.3525,20.69333333,5.875,10.57,9.43,16.39666667
8.64,5.3575,20.64333333,5.8825,10.38666667,9.42,16.38666667
8.604,5.375,20.51666667,5.8725,10.14666667,9.34,16.28666667
8.602,5.4025,20.40666667,5.865,9.938333333,9.33,16.24
8.572,5.395,20.29333333,5.855,9.696666667,9.22,16.17
8.54,5.375,20.14666667,5.815,9.471666667,9.13,16.04333333
8.532,5.365,20.05666667,5.825,9.263333333,9.11,16.01333333
8.506,5.345,20,5.8375,9.09,9.13,15.97
8.484,5.33,19.93666667,5.83,8.881666667,9.1,15.91333333
8.458,5.3425,19.83666667,5.835,8.683333333,9.1,15.85333333
8.418,5.3225,19.72333333,5.8175,8.473333333,8.99,15.80333333
8.38,5.3025,19.64,5.7875,8.241666667,8.97,15.71333333
8.338,5.3025,19.51666667,5.7775,8.031666667,9.02,15.64333333
8.3,5.29,19.41666667,5.7425,7.848333333,8.95,15.58333333
8.282,5.29,19.36666667,5.7475,7.71,8.93,15.53333333
8.264,5.3125,19.26333333,5.7675,7.548333333,8.93,15.51333333
8.23,5.3025,19.19333333,5.77,7.363333333,8.93,15.44666667
8.204,5.295,19.11,5.76,7.191666667,8.96,15.38
8.182,5.2925,18.97333333,5.77,7.023333333,8.97,15.32333333
8.17,5.3125,18.92666667,5.75,6.851666667,9.01,15.27
8.158,5.32,18.86,5.7525,6.711666667,9.04,15.23
8.14,5.325,18.76,5.75,6.578333333,8.99,15.20333333
8.12,5.325,18.72666667,5.755,6.445,8.97,15.16
8.09,5.315,18.65666667,5.725,6.296666667,8.92,15.11
8.076,5.29,18.57333333,5.7125,6.145,8.94,15.05666667
8.05,5.2775,18.48,5.71,6.013333333,8.93,14.99333333
8.016,5.2625,18.35666667,5.6725,5.871666667,8.98,14.94666667
7.992,5.26,18.27333333,5.67,5.746666667,9.01,14.88333333
7.952,5.265,18.18333333,5.6525,5.628333333,8.97,14.85333333
7.926,5.2675,18.11333333,5.645,5.506666667,8.95,14.79666667
7.904,5.2775,18.06333333,5.6575,5.421666667,8.93,14.78
7.886,5.2725,18,5.67,5.301666667,8.92,14.76
7.866,5.2575,17.92666667,5.67,5.196666667,8.96,14.72666667
7.86,5.2475,17.85666667,5.6625,5.085,8.99,14.68
7.834,5.245,17.77333333,5.65,4.976666667,9.04,14.63666667
7.814,5.25,17.71666667,5.6275,4.885,9.08,14.59
7.792,5.2425,17.65333333,5.6225,4.785,9.07,14.56333333
7.774,5.23,17.58333333,5.6375,4.706666667,9.11,14.55333333
7.752,5.2275,17.50333333,5.63,4.623333333,9.13,14.52
7.732,5.23,17.43333333,5.64,4.565,9.19,14.49333333
7.706,5.23,17.35666667,5.635,4.491666667,9.24,14.47333333
7.668,5.2075,17.27666667,5.6025,4.413333333,9.32,14.42
7.648,5.1925,17.20666667,5.5825,4.35,9.39,14.42333333
7.634,5.185,17.14666667,5.57,4.286666667,9.41,14.40333333
7.608,5.1725,17.08333333,5.535,4.218333333,9.45,14.36
7.598,5.185,17.01333333,5.545,4.166666667,9.49,14.33333333
7.578,5.2,16.94,5.545,4.118333333,9.52,14.3
7.554,5.185,16.88,5.5375,4.07,9.56,14.26333333
7.53,5.1775,16.80666667,5.5375,4.035,9.6,14.21666667
7.516,5.1675,16.76,5.53,4.003333333,9.66,14.18666667
7.498,5.16,16.69333333,5.5175,3.97,9.68,14.16
7.488,5.165,16.63,5.51,3.938333333,9.75,14.14
7.456,5.16,16.56333333,5.4975,3.895,9.8,14.12666667
7.448,5.17,16.49666667,5.5,3.863333333,9.85,14.11
7.436,5.1625,16.42666667,5.4925,3.838333333,9.91,14.08
7.416,5.1575,16.37666667,5.4825,3.82,9.97,14.06333333
7.404,5.1475,16.31333333,5.4825,3.8,10.04,14.04
7.388,5.1425,16.25333333,5.475,3.788333333,10.11,14.02
7.37,5.1525,16.21333333,5.4825,3.776666667,10.19,14.01
7.35,5.1475,16.16333333,5.48,3.766666667,10.26,13.99
7.334,5.1475,16.10333333,5.48,3.756666667,10.31,13.96666667
7.322,5.1425,16.04333333,5.4725,3.755,10.37,13.95333333
7.304,5.14,15.99,5.4775,3.755,10.4,13.94
7.286,5.13,15.93,5.4725,3.756666667,10.44,13.93333333
7.262,5.13,15.87,5.46,3.75,10.5,13.92333333
7.238,5.125,15.81,5.465,3.756666667,10.54,13.89666667
7.23,5.1225,15.76666667,5.455,3.765,10.62,13.88333333
7.212,5.1175,15.72,5.4525,3.776666667,10.69,13.86666667
7.204,5.1125,15.67333333,5.4525,3.793333333,10.77,13.84333333
7.192,5.1075,15.62,5.435,3.805,10.83,13.84
7.182,5.1,15.57,5.4225,3.82,10.89,13.82333333
7.176,5.105,15.50666667,5.425,3.838333333,10.96,13.81333333
7.164,5.105,15.45333333,5.425,3.86,11.02,13.81333333
7.15,5.105,15.39,5.41,3.883333333,11.08,13.80333333
7.136,5.11,15.33333333,5.4075,3.905,11.15,13.78333333
7.12,5.1075,15.29,5.405,3.931666667,11.21,13.78
7.104,5.1075,15.23333333,5.405,3.956666667,11.29,13.75666667
7.084,5.1125,15.19666667,5.4075,3.988333333,11.36,13.75333333
7.076,5.1075,15.14666667,5.405,4.02,11.41,13.75333333
7.062,5.1025,15.10333333,5.4,4.056666667,11.47,13.74333333
7.048,5.1025,15.05333333,5.3925,4.09,11.53,13.74666667
7.038,5.1,15.01666667,5.38,4.12,11.56,13.74
7.02,5.0975,14.97666667,5.3725,4.16,11.62,13.72333333
7.004,5.095,14.92666667,5.37,4.2,11.68,13.71333333
6.992,5.095,14.87666667,5.3625,4.235,11.76,13.69666667
6.974,5.0925,14.83333333,5.3525,4.28,11.83,13.68666667
6.966,5.09,14.79333333,5.3525,4.32,11.89,13.68
6.962,5.0925,14.74666667,5.3625,4.37,11.94,13.68666667
6.95,5.0775,14.7,5.3575,4.415,11.99,13.69
6.94,5.08,14.65666667,5.3575,4.473333333,12.06,13.69
6.932,5.0775,14.61333333,5.3575,4.521666667,12.11,13.68
6.914,5.07,14.57,5.3525,4.571666667,12.2,13.68
6.908,5.0725,14.53,5.345,4.625,12.26,13.67
6.904,5.08,14.49333333,5.345,4.676666667,12.29,13.67666667
6.894,5.0825,14.45666667,5.3475,4.728333333,12.34,13.67666667
6.886,5.0825,14.42,5.345,4.785,12.38,13.67
6.872,5.0825,14.38,5.3375,4.841666667,12.43,13.66666667
6.86,5.085,14.34,5.34,4.9,12.49,13.67
6.85,5.085,14.30333333,5.3375,4.96,12.53,13.67
6.838,5.085,14.26,5.33,5.018333333,12.58,13.66666667
6.826,5.08,14.21666667,5.3325,5.075,12.63,13.66666667
6.816,5.0775,14.18333333,5.3275,5.138333333,12.67,13.67333333
6.804,5.0775,14.14666667,5.3325,5.2,12.75,13.66666667
6.796,5.0725,14.10666667,5.325,5.265,12.79,13.66333333
6.786,5.07,14.07333333,5.325,5.325,12.85,13.66333333
6.778,5.07,14.03,5.32,5.388333333,12.92,13.64666667
6.77,5.0675,13.99333333,5.31,5.455,12.95,13.63666667
6.764,5.065,13.95666667,5.3125,5.516666667,13,13.63333333
6.754,5.06,13.91666667,5.3025,5.58,13.04,13.63
6.748,5.0625,13.87333333,5.3025,5.651666667,13.06,13.62333333
6.728,5.0625,13.83333333,5.3025,5.718333333,13.12,13.63
6.718,5.0675,13.79333333,5.3025,5.788333333,13.15,13.63666667
6.706,5.0725,13.75666667,5.3025,5.853333333,13.21,13.63666667
6.7,5.07,13.72666667,5.3075,5.92,13.25,13.64
6.694,5.0675,13.69,5.3075,5.986666667,13.28,13.63666667
6.688,5.065,13.64,5.295,6.055,13.31,13.64
6.68,5.0625,13.6,5.295,6.123333333,13.35,13.63333333
6.664,5.0575,13.56,5.2925,6.191666667,13.37,13.63
6.654,5.055,13.53,5.285,6.256666667,13.4,13.62333333
6.642,5.055,13.49333333,5.28,6.325,13.45,13.62
6.636,5.06,13.46,5.2775,6.398333333,13.48,13.62
6.628,5.0625,13.42,5.2725,6.47,13.53,13.61666667
6.618,5.0625,13.38,5.2775,6.543333333,13.57,13.61
6.608,5.0625,13.35333333,5.275,6.613333333,13.59,13.60333333
6.598,5.055,13.32666667,5.2725,6.683333333,13.61,13.61
6.588,5.05,13.29333333,5.27,6.761666667,13.63,13.61333333
6.582,5.045,13.26,5.26,6.835,13.65,13.62
6.574,5.045,13.21666667,5.2525,6.911666667,13.68,13.61
6.566,5.05,13.18,5.2575,6.981666667,13.72,13.61666667
6.554,5.045,13.13333333,5.25,7.053333333,13.75,13.61
6.544,5.0375,13.09666667,5.2475,7.123333333,13.79,13.61666667
6.534,5.0375,13.06,5.2525,7.186666667,13.82,13.61666667
6.524,5.0275,13.02333333,5.24,7.253333333,13.82,13.60333333
6.516,5.03,12.99333333,5.2375,7.326666667,13.84,13.60666667
6.508,5.03,12.95666667,5.24,7.398333333,13.84,13.6
6.504,5.0325,12.93,5.235,7.476666667,13.84,13.59333333
6.492,5.035,12.89666667,5.2375,7.55,13.85,13.6
6.48,5.03,12.86666667,5.2375,7.62,13.87,13.59666667
6.474,5.03,12.83666667,5.235,7.69,13.9,13.59
6.464,5.03,12.80333333,5.235,7.761666667,13.91,13.59666667
6.462,5.0275,12.78333333,5.2325,7.836666667,13.94,13.59333333
6.456,5.0175,12.75333333,5.225,7.906666667,13.97,13.6
6.448,5.015,12.72666667,5.2225,7.98,13.97,13.60333333
6.432,5.01,12.68333333,5.2175,8.061666667,14,13.6
6.424,5.0075,12.65333333,5.2125,8.131666667,13.99,13.60666667
6.41,5.01,12.61666667,5.2075,8.201666667,14.01,13.60333333
6.406,5.0125,12.58333333,5.205,8.27,14.01,13.59666667
6.398,5.0125,12.55333333,5.2,8.341666667,14.01,13.59666667
6.392,5.01,12.52,5.2,8.41,14,13.58666667
6.38,5.01,12.48,5.1975,8.478333333,14.01,13.59
6.374,5.0075,12.44666667,5.195,8.551666667,14.01,13.58666667
6.368,5.0125,12.42666667,5.1925,8.623333333,14.01,13.59
6.358,5.0175,12.40333333,5.1875,8.691666667,14.04,13.59333333
6.35,5.02,12.38333333,5.19,8.765,14.04,13.58666667
6.344,5.0125,12.35666667,5.1875,8.83,14.05,13.58333333
6.332,5.0075,12.31666667,5.185,8.911666667,14.07,13.57666667
6.324,5.005,12.28666667,5.1825,8.983333333,14.06,13.58
6.316,5.005,12.25333333,5.185,9.046666667,14.06,13.57666667
6.314,5.0075,12.22666667,5.1875,9.113333333,14.05,13.58
6.302,5.005,12.19333333,5.1875,9.175,14.05,13.57
6.294,5.0025,12.16666667,5.1775,9.245,14.04,13.56666667
6.286,4.9975,12.13666667,5.17,9.308333333,14.02,13.56666667
6.274,4.9925,12.1,5.1675,9.378333333,14.02,13.56333333
6.27,4.9875,12.07333333,5.1675,9.448333333,14.01,13.57333333
6.272,4.99,12.05,5.175,9.516666667,14,13.57333333
6.26,4.9875,12.02,5.17,9.593333333,14.02,13.58
6.252,4.985,11.98666667,5.165,9.66,14.01,13.58333333
6.244,4.9875,11.96333333,5.1575,9.725,13.99,13.57333333
6.236,4.9825,11.92666667,5.155,9.78,13.99,13.56333333
6.228,4.9775,11.90666667,5.1475,9.84,13.98,13.55666667
6.226,4.98,11.88333333,5.145,9.905,13.96,13.55333333
6.218,4.975,11.85666667,5.14,9.968333333,13.96,13.55
6.206,4.975,11.83333333,5.1375,10.03333333,13.95,13.54666667
6.2,4.9775,11.79,5.13,10.11166667,13.93,13.55
6.192,4.9725,11.76,5.13,10.16666667,13.92,13.55
6.186,4.9725,11.73333333,5.1325,10.22833333,13.9,13.54666667
6.184,4.97,11.70333333,5.1325,10.28666667,13.89,13.54
6.172,4.9675,11.68,5.13,10.35,13.88,13.53333333
6.166,4.965,11.66,5.1225,10.41,13.86,13.52333333
6.156,4.97,11.62666667,5.115,10.47,13.85,13.53
6.152,4.97,11.60333333,5.115,10.535,13.83,13.52666667
6.146,4.97,11.57333333,5.11,10.60166667,13.81,13.52666667
6.136,4.9675,11.54666667,5.105,10.66666667,13.79,13.53
6.13,4.9625,11.52666667,5.1025,10.72,13.77,13.52666667
6.124,4.96,11.50666667,5.1025,10.77833333,13.73,13.52
6.118,4.96,11.48333333,5.1075,10.835,13.72,13.52333333
6.11,4.9525,11.46333333,5.1075,10.89166667,13.7,13.52666667
6.1,4.9475,11.42666667,5.1025,10.96333333,13.67,13.52666667
6.096,4.95,11.4,5.0975,11.02333333,13.66,13.52333333
6.092,4.9525,11.37333333,5.0925,11.08,13.64,13.52
6.09,4.955,11.36,5.0975,11.13833333,13.62,13.52
6.086,4.9525,11.34,5.0975,11.20166667,13.6,13.52666667
6.086,4.955,11.31666667,5.0975,11.26,13.58,13.53666667
6.082,4.95,11.3,5.1,11.33666667,13.56,13.55
6.078,4.945,11.27666667,5.095,11.39666667,13.56,13.55333333
6.074,4.945,11.25666667,5.095,11.45333333,13.53,13.54666667
6.07,4.945,11.24333333,5.0975,11.51166667,13.52,13.55333333
6.066,4.945,11.22333333,5.1025,11.57166667,13.5,13.55
6.06,4.945,11.21,5.1,11.62,13.47,13.54666667
6.052,4.9475,11.18666667,5.0975,11.685,13.46,13.54666667
6.042,4.9575,11.17333333,5.1,11.735,13.43,13.55
6.038,4.9575,11.14333333,5.0975,11.78166667,13.41,13.54333333
6.03,4.955,11.11666667,5.0925,11.83666667,13.4,13.54333333
6.022,4.95,11.08333333,5.0875,11.88333333,13.35,13.53666667
6.016,4.9475,11.05333333,5.085,11.95,13.31,13.51666667
6.01,4.945,11.02666667,5.0825,12.00166667,13.28,13.51666667
6.004,4.9425,11.00666667,5.08,12.045,13.24,13.51
6.002,4.9425,10.98333333,5.075,12.09,13.21,13.50666667
5.992,4.9325,10.95666667,5.07,12.13,13.19,13.50333333
5.984,4.9325,10.93,5.065,12.18666667,13.16,13.50333333
5.98,4.9375,10.91666667,5.07,12.235,13.14,13.5
5.972,4.935,10.89,5.065,12.27833333,13.11,13.49666667
5.97,4.94,10.87333333,5.065,12.33166667,13.08,13.50333333
5.964,4.9375,10.84666667,5.0575,12.37333333,13.04,13.49666667
5.958,4.93,10.82,5.0575,12.42333333,13.01,13.48333333
5.954,4.925,10.8,5.0575,12.47166667,12.96,13.47666667
5.942,4.92,10.77,5.0525,12.51,12.93,13.47
5.934,4.92,10.74666667,5.05,12.55,12.9,13.45666667
5.926,4.915,10.72333333,5.045,12.6,12.87,13.46
5.92,4.9175,10.69333333,5.045,12.65,12.84,13.45333333
5.914,4.915,10.68,5.035,12.69833333,12.81,13.44666667
5.914,4.915,10.65666667,5.0375,12.745,12.78,13.44333333
5.91,4.9175,10.64,5.0325,12.79,12.74,13.44333333
5.906,4.9125,10.61,5.025,12.83,12.7,13.43333333
5.898,4.915,10.58333333,5.03,12.87,12.67,13.43666667
5.884,4.905,10.56,5.0225,12.90833333,12.64,13.42666667
5.88,4.9025,10.53333333,5.02,12.945,12.61,13.41333333
5.874,4.905,10.51333333,5.0225,12.99166667,12.58,13.41333333
5.868,4.9,10.49333333,5.0175,13.02666667,12.54,13.40666667
5.864,4.9,10.47,5.0175,13.05666667,12.51,13.41
5.854,4.8975,10.45,5.0125,13.09166667,12.48,13.40333333
5.844,4.8925,10.42333333,5.0075,13.13833333,12.44,13.4
5.842,4.895,10.39666667,5.005,13.17333333,12.41,13.40333333
5.838,4.89,10.38666667,5.0025,13.215,12.37,13.4
5.83,4.8875,10.36333333,5.0025,13.24833333,12.32,13.39666667
5.822,4.885,10.34,5,13.29333333,12.28,13.38666667
5.812,4.885,10.33,5,13.33166667,12.26,13.37333333
5.808,4.89,10.30666667,5,13.37,12.24,13.36666667
5.806,4.8875,10.29666667,5.0025,13.40833333,12.21,13.36333333
5.808,4.8875,10.27333333,4.995,13.44666667,12.17,13.36
5.798,4.88,10.25,4.9975,13.47833333,12.14,13.35
5.79,4.88,10.23333333,4.9925,13.515,12.1,13.35333333
5.78,4.8775,10.22,4.9875,13.54166667,12.06,13.34333333
5.776,4.8775,10.2,4.9875,13.58166667,12.01,13.33666667
5.768,4.87,10.18333333,4.9825,13.61833333,11.97,13.33333333
5.762,4.8675,10.16333333,4.98,13.64833333,11.94,13.32
5.76,4.87,10.13333333,4.9775,13.69666667,11.9,13.31666667
5.752,4.87,10.12333333,4.9775,13.72833333,11.88,13.30666667
5.75,4.8775,10.09666667,4.9775,13.755,11.85,13.3
5.754,4.8775,10.08333333,4.97,13.78833333,11.81,13.3
5.742,4.8675,10.05666667,4.9675,13.82,11.76,13.29
5.742,4.8625,10.03666667,4.9625,13.85166667,11.72,13.28666667
5.742,4.8625,10.01333333,4.9575,13.88333333,11.68,13.28333333
5.726,4.8525,9.98,4.9575,13.91833333,11.65,13.27333333
5.726,4.855,9.96,4.9525,13.94666667,11.62,13.26666667
5.718,4.855,9.936666667,4.95,13.97,11.59,13.25333333
5.704,4.855,9.926666667,4.945,13.99666667,11.57,13.24666667
5.704,4.86,9.916666667,4.945,14.025,11.55,13.25666667
5.69,4.86,9.903333333,4.945,14.05333333,11.51,13.25333333
5.69,4.8525,9.886666667,4.95,14.08833333,11.47,13.25666667
5.696,4.85,9.863333333,4.9525,14.11666667,11.41,13.25
5.694,4.85,9.853333333,4.955,14.14166667,11.37,13.24333333
5.694,4.8475,9.836666667,4.9575,14.16666667,11.33,13.23666667
5.688,4.8525,9.82,4.9475,14.19166667,11.3,13.23
5.682,4.845,9.8,4.9425,14.21833333,11.27,13.22666667
5.676,4.85,9.786666667,4.94,14.245,11.25,13.22333333
5.67,4.8375,9.763333333,4.935,14.275,11.22,13.22333333
5.66,4.8375,9.743333333,4.9375,14.30166667,11.19,13.21
5.66,4.84,9.733333333,4.93,14.32,11.16,13.20333333
5.648,4.8325,9.716666667,4.9275,14.35,11.11,13.19333333
5.65,4.8375,9.703333333,4.9275,14.37166667,11.08,13.18666667
5.646,4.8325,9.686666667,4.93,14.395,11.05,13.19
5.642,4.8275,9.666666667,4.93,14.43,11.01,13.17666667
5.646,4.83,9.643333333,4.9275,14.45166667,10.98,13.17
5.644,4.8325,9.623333333,4.9325,14.47833333,10.95,13.17333333
5.636,4.835,9.613333333,4.9275,14.5,10.91,13.16333333
5.628,4.8375,9.6,4.93,14.515,10.89,13.17333333
